"username","status","category","style"
InvestSmart,Доступно для покупки,Бизнес,strict
InvestPro,Доступно для покупки,Бизнес,strict
DealMaker,Продано,Бизнес,strict
ProfitNow,Доступно для покупки,Бизнес,strict
MarketWise,Доступно для покупки,Бизнес,strict
BizBot,Занято,Бизнес,strict
TradeFlow,Доступно для покупки,Бизнес,strict
SimpleJoy,Доступно для покупки,Стиль жизни,minimal
ZenLifeStyle,Занято,Стиль жизни,minimal
BrightVibes,Доступно для покупки,Стиль жизни,minimal
MindfulMoments,Занято,Стиль жизни,minimal
ZenithPeak,Занято,Minimalist,minimal
AetherFlow,Занято,Minimalist,minimal
StarryNight88,Занято,Minimalist,minimal
EmberGlow,Занято,Minimalist,minimal
SunKissed_Moments,Свободно,Minimalist,minimal
QuietStorm7,Занято,Minimalist,minimal
lunar_phase,Занято,Minimalist,minimal
clear_sky,Занято,Minimalist,minimal
shadow_dance,Занято,Minimalist,minimal
pixel_dust,Занято,Minimalist,minimal
aura_glow,Занято,Minimalist,minimal
sunbeam_22,Занято,Minimalist,minimal
ObsidianCore,Занято,Тёмная сторона,minimal
ShadowRealm,Занято,Тёмная сторона,minimal
Nightfall_bot,Занято,Тёмная сторона,minimal
Inkwell,Занято,Тёмная сторона,minimal
BlackMirror_bot,Занято,Тёмная сторона,minimal
DarkMatter,Доступно для покупки,Тёмная сторона,minimal
ObsidianTheme,Свободно,Темы:  Темный интерфейс/дизайн,minimal
NightVision,Доступно для покупки,Темы:  Темный интерфейс/дизайн,minimal
Dark_UI_helper,Свободно,Темы:  Темный интерфейс/дизайн,minimal
ShadowInterface,Доступно для покупки,Темы:  Темный интерфейс/дизайн,minimal
Black_UI,Занято,Темы:  Темный интерфейс/дизайн,minimal
DarkMode_bot,Занято,Темы:  Темный интерфейс/дизайн,minimal
Strategic_Growth_bot,Свободно,Бизнес,
Corp_Solutions,Свободно,Бизнес,
Fintech_Advisor,Занято,Бизнес,
Business_Intel_1,Свободно,Бизнес,
Global_Enterprise,Занято,Бизнес,
Corp_Metrics,Свободно,Бизнес,strict
Financial_Guard,Свободно,Бизнес,strict
Strategic_Growth,Занято,Бизнес,strict
InvestWisely_bot,Занято,Бизнес,strict
Market_Intel_1,Свободно,Бизнес,strict
StrictBiz_Advisor,Свободно,Бизнес,strict
FinTech_Solutions,Свободно,Бизнес,strict
Market_Analyst,Занято,Бизнес,strict
CorpAdmin_Bot,Занято,Бизнес,strict
GlobalTradePro,Доступно для покупки,Бизнес,strict
StrictBiz_1984,Свободно,Бизнес,strict
StatusUpdate,Доступно для покупки,Бизнес,minimal
ProgressBot,Занято,Бизнес,minimal
ProgressTracker,Доступно для покупки,Бизнес,minimal
SubmitStats,Свободно,Бизнес,funky
Report_Status_Bot,Занято,**Бизнес**,
RetroMem_Bot,Свободно,Воспоминания,funky
mem_keeper,Занято,Воспоминания,minimal
memoryLane,Доступно для покупки,Воспоминания,minimal
mem0ries,Доступно для покупки,Воспоминания,minimal
faded_echoes,Занято,Воспоминания,minimal
old_school_vibe,Занято,**Ностальгия**,
PeskyPigeon7,Свободно,Бесишь (Funky стиль),funky
Get_On_My_Nerves,Свободно,Бесят_все,
Annoy_o_matic,Свободно,Бесят_все,
yvawyva_bot,Свободно,"Тема: абстрактный набор символов, не несущий смысловой нагрузки",
